modification,reaction_id,reaction_name,old_reaction_equation,new_reaction_equation,mass_and_charge_balance_new,GPR,old_gpr,subsystem,confidence_level,TIC_association,is_blocked,isomer_group,iAT601_RAT_note,reaction_update_notes,metabolite_update_notes,lower_bound,upper_bound,literature_references,curation_notes,DB_links
,SKDH,Shikimate dehydrogenase,3dhsk_c + h_c + nadph_c --> nadp_c + skm_c,3dhsk_c + h_c + nadph_c --> nadp_c + skm_c,{},CLO1313_RS06920,Clo1313_1366,"Phenylalanine, tyrosine and tryptophan biosynthesis",1,,,,"['Not sure about nicotinamide cofactor, see R06847']",,,0,1000,,,"{'BIGG': ['SHK3D, SHK3Dr'], 'BIOCYC': ['SHIKIMATE-5-DEHYDROGENASE-RXN'], 'BRENDA': ['BR29283, BS187967'], 'EC NUMBER': ['1.1.1.25        1.1.1.282'], 'KEGG': ['R02413'], 'METACYC': ['RXN-7968, SHIKIMATE-5-DEHYDROGENASE-RXN'], 'MXNREF': ['MNXR55917'], 'REACTOME': ['REACT_27289'], 'RHEA': ['17737, 17738, 17739, 17740'], 'SEED': ['rxn01740, rxn01741'], 'UPA': ['UCR02413, UER00087']}"
,CDPGLC46DH,CDP glucose 4 6 dehydratase,cdpglc_c --> cdp4dh6doglc_c + h2o_c,cdpglc_c --> cdp4dh6doglc_c + h2o_c,{},CLO1313_RS00765,Clo1313_0147,Amino sugar and nucleotide sugar metabolism,2,,TRUE,,,,,0,1000,,,"{'BIOCYC': ['CDP-GLUCOSE-46-DEHYDRATASE-RXN'], 'EC NUMBER': ['4.2.1.45'], 'KEGG': ['R02426'], 'METACYC': ['CDP-GLUCOSE-46-DEHYDRATASE-RXN'], 'MXNREF': ['MNXR15051'], 'RHEA': ['17153, 17154, 17155, 17156'], 'SEED': ['rxn01750'], 'UPA': ['UCR02426, UER00512']}"
,AATC,"Aspartate aminotransferase, cysteate forming",Lcyst_c + akg_c <=> 3spyr_c + glu__L_c,Lcyst_c + akg_c <=> 3spyr_c + glu__L_c,{},CLO1313_RS07420 or CLO1313_RS09395 or CLO1313_RS01930 or CLO1313_RS08370,Clo1313_1467 or Clo1313_1858 or Clo1313_0381 or Clo1313_1657,Cysteine and methionine metabolism,2,,TRUE,"['glu__L_c', 'glu__D_c']",,,,-1000,1000,,isolated,"{'BIGG': ['LCYSTAT, LCYSTATm'], 'EC NUMBER': ['2.6.1.1'], 'KEGG': ['R02433'], 'METACYC': ['RXN-11737'], 'MXNREF': ['MNXR31786'], 'SEED': ['rxn01757']}"
,PANTS,Pantothenate synthase,ala_B_c + atp_c + pant__R_c --> amp_c + h_c + pnto__R_c + ppi_c,ala_B_c + atp_c + pant__R_c --> amp_c + h_c + pnto__R_c + ppi_c,{},CLO1313_RS06680,Clo1313_1317,beta-Alanine metabolism,2,,TRUE,"['atp_c', 'dgtp_c']",,,,0,1000,,,"{'BIGG': ['PANTS'], 'BIOCYC': ['RXN-14175'], 'BIOPATH': ['RXN01474'], 'BRENDA': ['BR101'], 'EC NUMBER': ['6.3.2.1'], 'KEGG': ['R02473'], 'METACYC': ['PANTOATE-BETA-ALANINE-LIG-RXN'], 'MXNREF': ['MNXR4088'], 'RHEA': ['10912, 10913, 10914, 10915'], 'SEED': ['rxn01791'], 'UPA': ['UCR02473, UER00005']}"
,DURIPP,Deoxyuridine phosphorylase,duri_c + pi_c <=> 2dr1p_c + ura_c,duri_c + pi_c <=> 2dr1p_c + ura_c,{},CLO1313_RS05375 or CLO1313_RS11880,Clo1313_1056 or Clo1313_2341,Pyrimidine metabolism,2,,TRUE,"['2dr1p_c', '2dr5p_c', 'dxyl5p_c']",,,,-1000,1000,,,"{'BIGG': ['DURIPP'], 'BIOCYC': ['URA-PHOSPH-RXN'], 'BRENDA': ['BR47487'], 'EC NUMBER': ['2.4.2.1         2.4.2.4         2.4.2.23'], 'KEGG': ['R02484'], 'METACYC': ['DEOXYURIDINE-PHOSPHORYLASE-RXN, URA-PHOSPH-RXN'], 'MXNREF': ['MNXR1813'], 'RHEA': ['22824, 22825, 22826, 22827'], 'SEED': ['rxn01799']}"
,DCYTD,Deoxycytidine deaminase,dcyt_c + h2o_c + h_c --> duri_c + nh4_c,dcyt_c + h2o_c + h_c --> duri_c + nh4_c,{},CLO1313_RS11915 or CLO1313_RS05815,Clo1313_2348 or Clo1313_1145,Pyrimidine metabolism,2,,TRUE,,,,,0,1000,,,"{'BIGG': ['DCYTD, DCYTDn'], 'BIOCYC': ['CYTIDEAM2-RXN'], 'BIOPATH': ['RXN00787'], 'BRENDA': ['BR22735'], 'EC NUMBER': ['3.5.4.5         3.5.4.14'], 'KEGG': ['R02485'], 'METACYC': ['CYTIDEAM-RXN'], 'MXNREF': ['MNXR1478'], 'RHEA': ['13433, 13434, 13435, 13436'], 'SEED': ['rxn01800']}"
delete:duplicate,CGS,Cystathionine gamma-synthase,cys__L_c + suchms_c <=> DUPLICATE_cyst__L_c + succ_c,cys__L_c + suchms_c <=> cyst__L_c + h_c + succ_c,{},CLO1313_RS11800 or CLO1313_RS01965,Clo1313_2325 or Clo1313_0388,Sulfur metabolism,1,,TRUE,"['succ_c', 'mmal_c']",,,"['MET_ID:DUPLICATE_cyst__L_c, NOTE: delete duplicated isomer']",-1000,1000,,,"{'BIOCYC': ['O-SUCCHOMOSERLYASE-RXN'], 'EC NUMBER': ['2.5.1.48']}"
,PACCOAL,Phenylacetate-CoA ligase,atp_c + coa_c + pac_c --> amp_c + phaccoa_c + ppi_c,atp_c + coa_c + pac_c --> amp_c + phaccoa_c + ppi_c,{},CLO1313_RS08140 or CLO1313_RS01925,Clo1313_1614 or Clo1313_0380,Phenylalanine metabolism,2,,TRUE,"['atp_c', 'dgtp_c']",,,,0,1000,,,"{'BIGG': ['PACCOAL, PACCOALr'], 'BIOCYC': ['RXN-10819'], 'BRENDA': ['BR48383'], 'EC NUMBER': ['6.2.1.30'], 'KEGG': ['R02539'], 'METACYC': ['PHENYLACETATE--COA-LIGASE-RXN, RXN-10819'], 'MXNREF': ['MNXR4073'], 'RHEA': ['20956, 20957, 20958, 20959'], 'SEED': ['rxn01842']}"
,PUNP2,Purine-nucleoside phosphorylase (Deoxyadenosine),dad_2_c + pi_c <=> 2dr1p_c + ade_c,dad_2_c + pi_c <=> 2dr1p_c + ade_c,{},CLO1313_RS05375 or CLO1313_RS11880,Clo1313_1056 or Clo1313_2341,Purine metabolism,2,,TRUE,"['dad_2_c', 'dad_5_c']",,,,-1000,1000,,,"{'BIGG': ['PUNP2'], 'EC NUMBER': ['2.4.2.1'], 'KEGG': ['R02557'], 'METACYC': ['DEOXYADENPHOSPHOR-RXN'], 'MXNREF': ['MNXR4523'], 'RHEA': ['27742, 27743, 27744, 27745'], 'SEED': ['rxn01859']}"
,3SALATA,3-sulfino-alanine transaminaseÃ¯Â¿Â½,3sala_c + akg_c <=> 3snpyr_c + glu__L_c,3sala_c + akg_c <=> 3snpyr_c + glu__L_c,{},CLO1313_RS07420 or CLO1313_RS09395 or CLO1313_RS01930 or CLO1313_RS08370,Clo1313_1467 or Clo1313_1858 or Clo1313_0381 or Clo1313_1657,Cysteine and methionine metabolism,2,,TRUE,"['glu__L_c', 'glu__D_c']",,check reversibility,,-1000,1000,,,"{'BIGG': ['3SALATAi, 3SALATAim'], 'EC NUMBER': ['2.6.1.1'], 'KEGG': ['R02619'], 'METACYC': ['3-SULFINOALANINE-AMINOTRANSFERASE-RXN'], 'MXNREF': ['MNXR54915'], 'SEED': ['rxn01906']}"
,ACGK,Acetylglutamate kinase,acglu_c + atp_c --> acg5p_c + adp_c,acglu_c + atp_c --> acg5p_c + adp_c,{},CLO1313_RS12980,Clo1313_2556,Arginine and proline metabolism,2,,,"['atp_c', 'dgtp_c']",,,,0,1000,,,"{'BIGG': ['ACGK, ACGKm'], 'BIOCYC': ['ACETYLGLUTKIN-RXN'], 'BIOPATH': ['RXN00583'], 'BRENDA': ['BR47830'], 'EC NUMBER': ['2.7.2.8'], 'KEGG': ['R02649'], 'METACYC': ['ACETYLGLUTKIN-RXN'], 'MXNREF': ['MNXR382'], 'RHEA': ['14629, 14630, 14631, 14632'], 'SEED': ['rxn01917'], 'UPA': ['UCR02649, UER00107']}"
,ALDD20x,Aldehyde dehydrogenase  indole 3 acetaldehyde  NAD ,h2o_c + id3acald_c + nad_c <=> h_c + ind3ac_c + nadh_c,h2o_c + id3acald_c + nad_c <=> 2.0 h_c + ind3ac_c + nadh_c,{},CLO1313_RS14795,Clo1313_2911,Tryptophan metabolism,0,,TRUE,,,,,-1000,1000,,,"{'EC NUMBER': ['1.2.1.3'], 'KEGG': ['R02678']}"
,UDPG2DGT,"UDPglucose:1,2-diacylglycerol 3-D-glucosyltransferase",dag_gen_c + udpg_c --> 3g12dgr_gen_c + h_c + udp_c,dag_gen_c + udpg_c --> 3g12dgr_gen_c + h_c + udp_c,{},CLO1313_RS03770,Clo1313_0728,Glycerolipid metabolism,2,,,"['udp_c', 'DUPLICATE_udp_c']",,,"['MET_ID:dag_gen_c, NOTE: generic', 'MET_ID:3g12dgr_gen_c, NOTE: generic:biomass']",0,1000,,,"{'BRENDA': ['BR47650'], 'EC NUMBER': ['2.4.1.157'], 'KEGG': ['R02689'], 'MXNREF': ['MNXR57071'], 'SEED': ['rxn06219']}"
,NTD10,5'-nucleotidase (XMP),h2o_c + xmp_c --> pi_c + xtsn_c,h2o_c + xmp_c --> pi_c + xtsn_c,{},CLO1313_RS15375,Clo1313_3022,Purine metabolism,2,,TRUE,,,,,0,1000,,,"{'BIGG': ['NTD10, NTD10pp'], 'BIOCYC': ['XMPXAN-RXN'], 'BIOPATH': ['RXN01499'], 'BRENDA': ['BS383410'], 'EC NUMBER': ['3.1.3.5'], 'KEGG': ['R02719'], 'METACYC': ['XMPXAN-RXN'], 'MXNREF': ['MNXR3872'], 'RHEA': ['28530, 28531, 28532, 28533'], 'SEED': ['rxn01961']}"
,NTPP11,Nucleoside triphosphate pyrophosphorylase (xtp),h2o_c + xtp_c --> h_c + ppi_c + xmp_c,h2o_c + xtp_c --> h_c + ppi_c + xmp_c,{},CLO1313_RS01245,Clo1313_0245,Purine metabolism,2,,TRUE,,,,,0,1000,,,"{'BIGG': ['NTPP11'], 'BRENDA': ['BS141251'], 'EC NUMBER': ['3.6.1.19'], 'KEGG': ['R02720'], 'METACYC': ['RXN0-1603'], 'MXNREF': ['MNXR3896'], 'REACTOME': ['REACT_150195, REACT_152711, REACT_152874, REACT_153276, REACT_153696, REACT_153816, REACT_154326, REACT_154602, REACT_154696, REACT_154747, REACT_154991, REACT_155134, REACT_155722, REACT_156673, REACT_157642, REACT_157989, REACT_158852, REACT_159540, REACT_159723, REACT_159859'], 'RHEA': ['28610, 28611, 28612, 28613'], 'SEED': ['rxn01962']}"
,SERH,L-serine hydrolyase,3ig3p_c + ser__L_c --> g3p_c + h2o_c + trp__L_c,3ig3p_c + ser__L_c --> g3p_c + h2o_c + trp__L_c,{},CLO1313_RS04305 or CLO1313_RS04300 or CLO1313_RS05330,Clo1313_0837 or Clo1313_0836 or Clo1313_1046,"Glycine, serine and threonine metabolism",2,,,"['dhap_c', 'g3p_c']",,,,0,1000,,,"{'BIOCYC': ['TRYPSYN-RXN'], 'BRENDA': ['BS398599'], 'EC NUMBER': ['4.2.1.20'], 'KEGG': ['R02722'], 'METACYC': ['TRYPSYN-RXN'], 'MXNREF': ['MNXR5139']}"
,DAPE,Diaminopimelate epimerase,26dap_LL_c <=> 26dap__M_c,26dap_LL_c <=> 26dap__M_c,{},CLO1313_RS03355,Clo1313_0651,Lysine biosynthesis,2,,,"['26dap_LL_c', '26dap__M_c']",,,,-1000,1000,,,"{'BIGG': ['DAPE'], 'BIOCYC': ['DIAMINOPIMEPIM-RXN'], 'BIOPATH': ['RXN00670'], 'BRENDA': ['BR175'], 'EC NUMBER': ['5.1.1.7'], 'KEGG': ['R02735'], 'METACYC': ['DIAMINOPIMEPIM-RXN'], 'MXNREF': ['MNXR1432'], 'RHEA': ['15393, 15394, 15395, 15396'], 'SEED': ['rxn01974'], 'UPA': ['UCR02735, UER00025']}"
delete:duplicate,G6PI_1,Glucose-6-phosphate isomerase,g6p_A_c <=> g6p_B_c,g6p_c <=> g6p_c,{},CLO1313_RS10200,Clo1313_2015,Glycolysis/Gluconeogenesis,2,"['G6PI_1', 'PGIA', 'PGIB']",,"['f6p_c', 'g6p_c', 'g1p_c', 'man6p_c', 'man1p_c', 'g6p_A_c', 'f1p_c', 'tag6p__D_c', 'g6p_B_c', 'f6p_B_c']",,"review with PGIA, both reactions were originally assigned the same name",,-1000,1000,,,"{'BIOCYC': ['GLUCOSE-6-PHOSPHATE-1-EPIMERASE-RXN'], 'BRENDA': ['BR190'], 'EC NUMBER': ['5.1.3.15        5.3.1.9'], 'KEGG': ['R02739'], 'METACYC': ['GLUCOSE-6-PHOSPHATE-1-EPIMERASE-RXN'], 'MXNREF': ['MNXR6501'], 'RHEA': ['16249, 16250, 16251, 16252']}"
delete:duplicate,PGIA,Glucose-6-phosphate isomerase (g6p-A),g6p_A_c --> f6p_B_c,g6p_c --> f6p_c,{},CLO1313_RS10200,Clo1313_2015,Glycolysis/Gluconeogenesis,4,"['G6PI_1', 'PGIA', 'PGIB']",,"['f6p_c', 'g6p_c', 'g1p_c', 'man6p_c', 'man1p_c', 'g6p_A_c', 'f1p_c', 'tag6p__D_c', 'g6p_B_c', 'f6p_B_c']",,"review with G6PI_1, both reactions were originally assigned the same name","['MET_ID:f6p_B_c, NOTE: isomer']",0,1000,,,"{'BIOCYC': ['PGLUCISOM-RXN'], 'EC NUMBER': ['5.3.1.9'], 'KEGG': ['R02740'], 'METACYC': ['RXN-6182'], 'MXNREF': ['MNXR35757']}"
add:correction,PGI,Glucose-6-phosphate isomerase,,g6p_c <==> f6p_c,{},CLO1313_RS10200,Clo1313_2015,Glycolysis/Gluconeogenesis,4,,,"['f6p_c', 'g6p_c', 'g1p_c', 'man6p_c', 'man1p_c', 'g6p_A_c', 'f1p_c', 'tag6p__D_c', 'g6p_B_c', 'f6p_B_c']",,"review with G6PI_1, both reactions were originally assigned the same name","['MET_ID:f6p_B_c, NOTE: isomer']",-1000,1000,PMID28469704,,"{'BIOCYC': ['PGLUCISOM-RXN'], 'EC NUMBER': ['5.3.1.9'], 'KEGG': ['R02740'], 'METACYC': ['RXN-6182'], 'MXNREF': ['MNXR35757']}"
,PUNP6,Purine-nucleoside phosphorylase (Deoxyinosine),din_c + pi_c <=> 2dr1p_c + hxan_c,din_c + pi_c <=> 2dr1p_c + hxan_c,{},CLO1313_RS05375 or CLO1313_RS11880,Clo1313_1056 or Clo1313_2341,Purine metabolism,2,,TRUE,"['2dr1p_c', '2dr5p_c', 'dxyl5p_c']",,,,-1000,1000,,,"{'BIGG': ['PUNP6'], 'EC NUMBER': ['2.4.2.1         2.4.2.4'], 'KEGG': ['R02748'], 'METACYC': ['DEOXYINOPHOSPHOR-RXN'], 'MXNREF': ['MNXR4527'], 'RHEA': ['27750, 27751, 27752, 27753'], 'SEED': ['rxn01985']}"
,PPM2,Phosphopentomutase 2 (deoxyribose),2dr1p_c <=> 2dr5p_c,2dr1p_c <=> 2dr5p_c,{},CLO1313_RS07800,Clo1313_1546,Pentose phosphate pathway,2,,TRUE,"['2dr1p_c', '2dr5p_c', 'dxyl5p_c']",,,,-1000,1000,,,"{'BIGG': ['PPM2'], 'BIOCYC': ['PPENTOMUT-RXN'], 'EC NUMBER': ['5.4.2.7'], 'KEGG': ['R02749'], 'METACYC': ['D-PPENTOMUT-RXN'], 'MXNREF': ['MNXR4396'], 'SEED': ['rxn01986'], 'UPA': ['UCR02749, UER00467']}"
,DHDOR,"meso-2,6-diaminoheptanedioate:NADP+ oxidoreductase (deaminating)",am6ohd_c + h_c + nadph_c + nh4_c --> 26dap__M_c + h2o_c + nadp_c,am6ohd_c + h_c + nadph_c + nh4_c --> 26dap__M_c + h2o_c + nadp_c,{},CLO1313_RS06575,Clo1313_1295,Lysine biosynthesis,2,,TRUE,"['26dap_LL_c', '26dap__M_c']",,,,0,1000,,,"{'BIOCYC': ['DIAMINOPIMELATE-DEHYDROGENASE-RXN'], 'BRENDA': ['BR36864, BS370169, BS370169_WOP'], 'EC NUMBER': ['1.4.1.16'], 'KEGG': ['R02755'], 'METACYC': ['DIAMINOPIMELATE-DEHYDROGENASE-RXN'], 'MXNREF': ['MNXR7282'], 'RHEA': ['13561, 13562, 13563, 13564'], 'SEED': ['rxn01991'], 'UPA': ['UCR02755']}"
,UAMAGS,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase,atp_c + glu__D_c + uama_c --> adp_c + h_c + pi_c + uamag_c,atp_c + glu__D_c + uama_c --> adp_c + h_c + pi_c + uamag_c,{},CLO1313_RS05955,Clo1313_1172,D-Glutamine and D-glutamate metabolism,2,,,"['atp_c', 'dgtp_c']",,,,0,1000,,,"{'BIGG': ['UAMAGS'], 'BIOCYC': ['UDP-NACMURALA-GLU-LIG-RXN'], 'BRENDA': ['BR125, BS398808'], 'EC NUMBER': ['6.3.2.9'], 'KEGG': ['R02783'], 'METACYC': ['UDP-NACMURALA-GLU-LIG-RXN'], 'MXNREF': ['MNXR5205'], 'RHEA': ['16429, 16430, 16431, 16432'], 'SEED': ['rxn02008, rxn11252']}"
,UAAGDS,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:(L)-meso-2,6-diaminoheptanedioate gamma-ligase (ADP-forming);",26dap__M_c + atp_c + uamag_c --> adp_c + h_c + pi_c + ugmd_c,26dap__M_c + atp_c + uamag_c --> adp_c + h_c + pi_c + ugmd_c,{},CLO1313_RS06290,Clo1313_1240,Lysine biosynthesis,2,,,"['atp_c', 'dgtp_c']",,,,0,1000,,,"{'BIGG': ['UAAGDS'], 'BIOCYC': ['UDP-NACMURALGLDAPLIG-RXN'], 'BRENDA': ['BR105'], 'EC NUMBER': ['6.3.2.13'], 'KEGG': ['R02788'], 'METACYC': ['UDP-NACMURALGLDAPLIG-RXN'], 'MXNREF': ['MNXR5186'], 'RHEA': ['23676, 23677, 23678, 23679'], 'SEED': ['rxn02011']}"
,SHCHF,Sirohydrochlorin ferrochelatase,2.0 h_c + sheme_c <=> fe2_c + srch_c,2.0 h_c + sheme_c <=> fe2_c + srch_c,{},CLO1313_RS00580,Clo1313_0109,Porphyrin and chlorophyll metabolism,2,,TRUE,"['fe2_c', 'fe3_c']",,,,-1000,1000,,,"{'BIGG': ['SHCHF'], 'BIOCYC': ['SIROHEME-FERROCHELAT-RXN'], 'EC NUMBER': ['4.99.1.4'], 'KEGG': ['R02864'], 'METACYC': ['SIROHEME-FERROCHELAT-RXN'], 'MXNREF': ['MNXR55914'], 'SEED': ['rxn02056, rxn12221'], 'UPA': ['UCR02864, UER00376']}"
,SPRMS,Spermine synthase,ametam_c + spmd_c <=> 5mta_c + h_c + sprm_c,ametam_c + spmd_c <=> 5mta_c + h_c + sprm_c,{},CLO1313_RS07720,Clo1313_1530,Cysteine and methionine metabolism,2,,TRUE,,,,,-1000,1000,,,"{'BIGG': ['SPRMS'], 'BIOPATH': ['RXN01094'], 'BRENDA': ['BR44280, BS323255'], 'EC NUMBER': ['2.5.1.16        2.5.1.22'], 'KEGG': ['R02869'], 'METACYC': ['SPERMINE-SYNTHASE-RXN'], 'MXNREF': ['MNXR4895'], 'REACTOME': ['REACT_103119, REACT_105174, REACT_105595, REACT_14825, REACT_34511, REACT_86585, REACT_88669, REACT_91092, REACT_95922'], 'RHEA': ['19973, 19974, 19975, 19976'], 'SEED': ['rxn02061'], 'UPA': ['UCR02869, UER00315']}"
,TYRTRS,Tyrosyl-tRNA synthetase,atp_c + trnatyr_c + tyr__L_c --> amp_c + ppi_c + tyrtrna_c,atp_c + trnatyr_c + tyr__L_c --> amp_c + h_c + ppi_c + tyrtrna_c,{},CLO1313_RS07580,Clo1313_1500,Aminoacyl-tRNA biosynthesis,2,,TRUE,"['atp_c', 'dgtp_c']",,,"['MET_ID:trnatyr_c, NOTE: generic:trna', 'MET_ID:tyrtrna_c, NOTE: generic:trna']",0,1000,,,"{'BIGG': ['TYRTRS, TYRTRSm'], 'BIOCYC': ['TYROSINE--TRNA-LIGASE-RXN'], 'EC NUMBER': ['6.1.1.1'], 'KEGG': ['R02918'], 'METACYC': ['TYROSINE--TRNA-LIGASE-RXN'], 'MXNREF': ['MNXR39679'], 'REACTOME': ['REACT_100137, REACT_101460, REACT_102539, REACT_102868, REACT_103102, REACT_103463, REACT_104741, REACT_105268, REACT_113391, REACT_115213, REACT_125878, REACT_15351, REACT_15492, REACT_156258, REACT_156321, REACT_157303, REACT_28241, REACT_34569, REACT_34764, REACT_77160, REACT_80743, REACT_83802, REACT_88185, REACT_91257, REACT_92035, REACT_92056, REACT_92554, REACT_92768, REACT_94007, REACT_95503, REACT_96791, REACT_97182, REACT_97822, REACT_97940, REACT_98164'], 'RHEA': ['10220, 10221, 10222, 10223'], 'SEED': ['rxn06280']}"
,BDOR,"(R,R)-Butane-2,3-diol:NAD+ oxidoreductase",actn__R_c + h_c + nadh_c --> btd_RR_c + nad_c,actn__R_c + h_c + nadh_c --> btd_RR_c + nad_c,{},,,,2,,TRUE,"['btd_RR_c', 'btd_M_c']",['Included based on overflow metabolism from high-substrate loading. NADH is assumed.'],,,0,1000,PMC4207885,,"{'EC NUMBER': ['1.1.1.4'], 'KEGG': ['R02946']}"
,ACLDC,Acetolactate decarboxylase,alac__S_c --> actn__R_c + co2_c,alac_c + h_c --> actn__R_c + co2_c,{},,,Butanoate metabolism,2,,TRUE,"['alac_c', '3hmoa_c', 'alac__S_c']",['Included based on overflow metabolism on high cellulose loading (Holwerda et al 2014)'],,,0,1000,PMC4207885,,"{'EC NUMBER': ['4.1.1.5'], 'KEGG': ['R02948']}"
,APNPT,ATP:pantetheine 4'-phosphotransferase,atp_c + ptth_c --> adp_c + h_c + pan4p_c,atp_c + ptth_c --> adp_c + h_c + pan4p_c,{},CLO1313_RS00905,Clo1313_0175,Pantothenate and CoA biosynthesis,2,,TRUE,"['atp_c', 'dgtp_c']",,,,0,1000,,,"{'BIOCYC': ['PANTOTHENATE-KIN-RXN'], 'BIOPATH': ['RXN00819'], 'BRENDA': ['BR48064'], 'EC NUMBER': ['2.7.1.33        2.7.1.34'], 'KEGG': ['R02971'], 'METACYC': ['PANTETHEINE-KINASE-RXN'], 'MXNREF': ['MNXR5843'], 'RHEA': ['22472, 22473, 22474, 22475'], 'SEED': ['rxn02128']}"
,NNAT,Nicotinate nucleotide adenylyltransferase ,atp_c + nicrnt_c --> dnad_c + ppi_c,atp_c + h_c + nicrnt_c --> dnad_c + ppi_c,{},CLO1313_RS05180,Clo1313_1016,Nicotinate and nicotinamide metabolism,1,,,"['atp_c', 'dgtp_c']",['Not sure if reversible'],,,0,1000,,,"{'BIGG': ['NNAT, NNATm, NNATn, NNATr'], 'BIOCYC': ['NICONUCADENYLYLTRAN-RXN'], 'BIOPATH': ['RXN00839'], 'BRENDA': ['BR47865'], 'EC NUMBER': ['2.7.7.18'], 'KEGG': ['R03005'], 'METACYC': ['NICONUCADENYLYLTRAN-RXN'], 'MXNREF': ['MNXR3836'], 'REACTOME': ['REACT_102033, REACT_105839, REACT_107769, REACT_107952, REACT_108937, REACT_108997, REACT_109529, REACT_11116, REACT_11196, REACT_112138, REACT_11237, REACT_112385, REACT_114560, REACT_114828, REACT_129715, REACT_130918, REACT_152953, REACT_158585, REACT_29852, REACT_30979, REACT_31171, REACT_31453, REACT_70840, REACT_73884, REACT_79519, REACT_79745, REACT_80724, REACT_80917, REACT_81520, REACT_81532, REACT_83285, REACT_84119, REACT_86854, REACT_90006, REACT_92077, REACT_93517, REACT_95186, REACT_96395, REACT_97201, REACT_97323, REACT_97434, REACT_98853, REACT_98856, REACT_99869'], 'RHEA': ['22860, 22861, 22862, 22863'], 'SEED': ['rxn02155'], 'UPA': ['UCR03005, UER00332']}"
,HISOR,L-Histidinol:NAD+ oxidoreductase,histd_c + nad_c --> h_c + histda_c + nadh_c,histd_c + nad_c --> h_c + histda_c + nadh_c,{},CLO1313_RS02135,Clo1313_0423,Histidine metabolism,2,,,,,,,0,1000,,,"{'BIOCYC': ['RXN-8001'], 'BRENDA': ['BS371011'], 'EC NUMBER': ['1.1.1.23'], 'KEGG': ['R03012'], 'METACYC': ['HISTOLDEHYD-RXN'], 'MXNREF': ['MNXR58251'], 'RHEA': ['33799, 33800, 33801, 33802'], 'SEED': ['rxn02159']}"
,HISTP,Histidinol-phosphatase,h2o_c + hisp_c --> histd_c + pi_c,h2o_c + hisp_c --> histd_c + pi_c,{},CLO1313_RS07575,Clo1313_1499,Histidine metabolism,2,,,,,,,0,1000,,,"{'BIGG': ['HISTP'], 'BIOCYC': ['HISTIDPHOS-RXN'], 'BIOPATH': ['RXN00548'], 'BRENDA': ['BR19199'], 'EC NUMBER': ['3.1.3.15'], 'KEGG': ['R03013'], 'METACYC': ['HISTIDPHOS-RXN'], 'MXNREF': ['MNXR2969'], 'RHEA': ['14465, 14466, 14467, 14468'], 'SEED': ['rxn02160'], 'UPA': ['UCR03013, UER00013']}"
,PNTK,Pantothenate kinase,atp_c + pnto__R_c --> 4ppan_c + adp_c + h_c,atp_c + pnto__R_c --> 4ppan_c + adp_c + h_c,{},CLO1313_RS00905,Clo1313_0175,Pantothenate and CoA biosynthesis,2,,TRUE,"['atp_c', 'dgtp_c']",,,,0,1000,,,"{'BIOCYC': ['PANTOTHENATE-KIN-RXN'], 'BIOPATH': ['RXN00819'], 'BRENDA': ['BR48064'], 'EC NUMBER': ['2.7.1.33'], 'KEGG': ['R02971'], 'METACYC': ['PANTETHEINE-KINASE-RXN'], 'MXNREF': ['MNXR5843'], 'RHEA': ['22472, 22473, 22474, 22475'], 'SEED': ['rxn02128']}"
,ECOAH1,3-hydroxyacyl-CoA dehydratase (3-hydroxybutanoyl-CoA),s3hbcoa_c <=> b2coa_c + h2o_c,3hbcoa_c <=> b2coa_c + h2o_c,{},CLO1313_RS11745,Clo1313_2312,Fatty acid metabolism,1,,TRUE,"['b2coa_c', '2mp2coa_c', 'cproccoa_c']",,,"['MET_ID:s3hbcoa_c, NOTE: isomer']",-1000,1000,,,"{'BIOCYC': ['RXN-7838'], 'EC NUMBER': ['4.2.1.17        4.2.1.55']}"
,APPAT,ATP:pantetheine-4'-phosphate adenylyltransferase,atp_c + h_c + pan4p_c --> dpcoa_c + ppi_c,atp_c + h_c + pan4p_c --> dpcoa_c + ppi_c,{},CLO1313_RS05015,Clo1313_0982,Pantothenate and CoA biosynthesis,2,,TRUE,"['atp_c', 'dgtp_c']",,,,0,1000,,,"{'BIGG': ['PTPAT, PTPATi, PTPATim'], 'BIOCYC': ['PANTEPADENYLYLTRAN-RXN'], 'BIOPATH': ['RXN01280'], 'BRENDA': ['BR47876'], 'EC NUMBER': ['2.7.7.3'], 'KEGG': ['R03035'], 'METACYC': ['PANTEPADENYLYLTRAN-RXN'], 'MXNREF': ['MNXR4514'], 'REACTOME': ['REACT_101882, REACT_103097, REACT_106013, REACT_107125, REACT_110459, REACT_11222, REACT_143414, REACT_159018, REACT_30920, REACT_34054, REACT_78737, REACT_84118, REACT_88574'], 'RHEA': ['19801, 19802, 19803, 19804'], 'SEED': ['rxn02175'], 'UPA': ['UCR03035, UER00355']}"
