locus_tag,old_locus_tag,gene,product
CLO1313_RS04245,Clo1313_0824,,tryptophan-rich sensory protein
CLO1313_RS04250,Clo1313_0825,,AI-2E family transporter
CLO1313_RS04255,Clo1313_0827,,IS200/IS605 family transposase
CLO1313_RS04260,Clo1313_0828,,hypothetical protein
CLO1313_RS04265,Clo1313_0829,sppA,signal peptide peptidase SppA
CLO1313_RS04270,Clo1313_0830,,membrane protein
CLO1313_RS04275,Clo1313_0831,,hypothetical protein
CLO1313_RS04280,Clo1313_0832,,hypothetical protein
CLO1313_RS04285,Clo1313_0833,,ABC transporter ATP-binding protein
CLO1313_RS04290,Clo1313_0834,,hypothetical protein
CLO1313_RS04295,Clo1313_0835,,ABC transporter permease
CLO1313_RS04300,Clo1313_0836,trpB,tryptophan synthase subunit beta
CLO1313_RS04305,Clo1313_0837,,tryptophan synthase subunit alpha
CLO1313_RS04310,Clo1313_0838,,cation transporter
CLO1313_RS04315,Clo1313_0839,,sensor histidine kinase
CLO1313_RS04320,Clo1313_0841,,DNA-binding response regulator
CLO1313_RS04325,Clo1313_0842,,VTC domain-containing protein
CLO1313_RS04330,Clo1313_0843,,DUF4956 domain-containing protein
CLO1313_RS04335,Clo1313_0844,,spore coat protein
CLO1313_RS04340,Clo1313_0845,feoB,ferrous iron transport protein B
CLO1313_RS04345,Clo1313_0846,,ferrous iron transport protein A
CLO1313_RS04350,Clo1313_0847,,transcriptional regulator MntR
CLO1313_RS04355,Clo1313_0848,,hypothetical protein
CLO1313_RS04360,Clo1313_0849,,glycosyl hydrolase
CLO1313_RS04365,Clo1313_0850,,hypothetical protein
CLO1313_RS04370,Clo1313_0851,,xyloglucanase Xgh74A
CLO1313_RS04375,Clo1313_0852,,glycosyltransferase family 8 protein
CLO1313_RS04380,Clo1313_0853,cls,cardiolipin synthase
CLO1313_RS15570,Clo1313_0854,,hypothetical protein
CLO1313_RS04385,Clo1313_0855,,DNA-binding response regulator
CLO1313_RS04390,Clo1313_0856,,PAS domain-containing sensor histidine kinase
CLO1313_RS04395,Clo1313_0857,,2-isopropylmalate synthase
CLO1313_RS04400,Clo1313_0858,,alpha/beta hydrolase
CLO1313_RS04405,Clo1313_0859,,HDIG domain-containing protein
CLO1313_RS04410,,,hypothetical protein
CLO1313_RS04415,Clo1313_0860,,hypothetical protein
CLO1313_RS04420,Clo1313_0861,,hypothetical protein
CLO1313_RS04425,Clo1313_0862,,hypothetical protein
CLO1313_RS04430,Clo1313_0863,,protein translocase subunit SecA
CLO1313_RS04435,Clo1313_0864,,bifunctional folylpolyglutamate synthase/dihydrofolate synthase
CLO1313_RS04440,Clo1313_0865,,hypothetical protein
CLO1313_RS04445,Clo1313_0866,,patatin
CLO1313_RS04450,Clo1313_0867,,threonine synthase
CLO1313_RS04455,Clo1313_0868,,response regulator
CLO1313_RS04460,Clo1313_0869,,gfo/Idh/MocA family oxidoreductase
CLO1313_RS04465,Clo1313_0870,,phosphodiesterase
CLO1313_RS04470,Clo1313_0871,,hypothetical protein
CLO1313_RS04475,Clo1313_0872,,homoserine dehydrogenase
CLO1313_RS04480,Clo1313_0873,,aspartate kinase
CLO1313_RS04485,Clo1313_0874,,copper amine oxidase
CLO1313_RS04490,Clo1313_0875,,hypothetical protein
CLO1313_RS04495,Clo1313_0876,,hypothetical protein
CLO1313_RS04500,Clo1313_0877,,hypothetical protein
CLO1313_RS04505,Clo1313_0879,,hypothetical protein
CLO1313_RS04510,Clo1313_0880,,hypothetical protein
CLO1313_RS04515,Clo1313_0881,,hypothetical protein
CLO1313_RS04520,Clo1313_0882,,hypothetical protein
CLO1313_RS04525,Clo1313_0883,,histidine triad nucleotide-binding protein
CLO1313_RS04530,Clo1313_0884,,S-layer homology domain-containing protein
CLO1313_RS04535,Clo1313_0885,,IS200/IS605 family transposase
CLO1313_RS04540,Clo1313_0886,,hypothetical protein
CLO1313_RS04545,Clo1313_0887,rfbC,"dTDP-4-dehydrorhamnose 3,5-epimerase"
CLO1313_RS04550,Clo1313_0888,,hypothetical protein
CLO1313_RS04555,Clo1313_0889,,SGNH/GDSL hydrolase family protein
CLO1313_RS04560,Clo1313_0890,,LPS biosynthesis protein
CLO1313_RS04565,Clo1313_0891,,antitermination factor NusG
CLO1313_RS04570,Clo1313_0892,,NAD-dependent epimerase
CLO1313_RS04575,Clo1313_0893,,"beta-1,4-galactosyltransferase enhancer"
CLO1313_RS04580,Clo1313_0894,,glycosyl transferase
CLO1313_RS04585,Clo1313_0895,,glycosyl transferase
CLO1313_RS04590,Clo1313_0896,,glycosyltransferase family 4 protein
CLO1313_RS04595,Clo1313_0897,,glycosyl transferase
CLO1313_RS04600,Clo1313_0898,,glycosyltransferase family 2 protein
CLO1313_RS04605,Clo1313_0899,,hypothetical protein
CLO1313_RS04610,Clo1313_0900,,flippase
CLO1313_RS04615,Clo1313_0901,,UDP-glucose/GDP-mannose dehydrogenase family protein
CLO1313_RS04620,Clo1313_0902,,acetobutylicum phosphotransbutyrylase
CLO1313_RS04625,Clo1313_0903,,single-stranded DNA-binding protein
CLO1313_RS04630,Clo1313_0904,,sugar transferase
CLO1313_RS04635,Clo1313_0905,,30S ribosomal protein S21
CLO1313_RS04640,Clo1313_0906,,aspartyl-tRNA amidotransferase subunit B
CLO1313_RS04645,Clo1313_0907,recJ,single-stranded-DNA-specific exonuclease RecJ
CLO1313_RS04650,Clo1313_0908,,adenine phosphoribosyltransferase
CLO1313_RS04655,Clo1313_0909,,"bifunctional (p)ppGpp synthetase/guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase"
CLO1313_RS04660,Clo1313_0910,,D-aminoacyl-tRNA deacylase
CLO1313_RS04665,Clo1313_0911,,MBL fold metallo-hydrolase
CLO1313_RS04670,Clo1313_0912,hemZ,coproporphyrinogen dehydrogenase HemZ
CLO1313_RS04675,Clo1313_0913,,hypothetical protein
CLO1313_RS04680,Clo1313_0914,,CpaF family protein
CLO1313_RS04685,Clo1313_0915,,pilus assembly protein TadB
CLO1313_RS04690,Clo1313_0916,,type II secretion system protein
CLO1313_RS04695,Clo1313_0917,,hypothetical protein
CLO1313_RS04700,Clo1313_0918,,pilus assembly protein
CLO1313_RS04705,Clo1313_0919,,prepilin peptidase
CLO1313_RS04710,Clo1313_0920,,FHA domain-containing protein
CLO1313_RS04715,Clo1313_0921,,hypothetical protein
CLO1313_RS04720,Clo1313_0922,,histidine--tRNA ligase
CLO1313_RS04725,Clo1313_0923,,aspartate--tRNA ligase
CLO1313_RS04730,Clo1313_0924,lepB,signal peptidase I
CLO1313_RS04735,Clo1313_0925,,2-hydroxyglutaryl-CoA dehydratase
CLO1313_RS04740,Clo1313_0926,,hypothetical protein
CLO1313_RS04745,Clo1313_0927,,stage II sporulation protein P
CLO1313_RS04750,Clo1313_0928,,hypothetical protein
CLO1313_RS04755,Clo1313_0929,,elongation factor 4
CLO1313_RS04760,Clo1313_0930,,coproporphyrinogen III oxidase
CLO1313_RS04765,Clo1313_0931,hrcA,HrcA family transcriptional regulator
CLO1313_RS04770,Clo1313_0932,,nucleotide exchange factor GrpE
CLO1313_RS04775,Clo1313_0933,,molecular chaperone DnaK
CLO1313_RS04780,Clo1313_0934,dnaJ,molecular chaperone DnaJ
CLO1313_RS04785,Clo1313_0935,,50S ribosomal protein L11 methyltransferase
CLO1313_RS04790,Clo1313_0936,,16S rRNA (uracil(1498)-N(3))-methyltransferase
CLO1313_RS04795,Clo1313_0937,,response regulator
CLO1313_RS04800,Clo1313_0938,,hypothetical protein
CLO1313_RS04805,Clo1313_0939,,hypothetical protein
CLO1313_RS04810,Clo1313_0940,,DUF370 domain-containing protein
CLO1313_RS04815,Clo1313_0941,,guanylate kinase
CLO1313_RS04820,Clo1313_0942,,DNA-directed RNA polymerase subunit omega
CLO1313_RS04825,Clo1313_0943,coaBC,bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC
CLO1313_RS04830,Clo1313_0944,,glycine--tRNA ligase
CLO1313_RS04835,Clo1313_0945,,GHKL domain-containing protein
CLO1313_RS15575,Clo1313_0946,,cyclic lactone autoinducer peptide
CLO1313_RS04840,Clo1313_0947,,accessory gene regulator B
CLO1313_RS04845,Clo1313_0948,,radical SAM protein
CLO1313_RS04850,Clo1313_0949,,"pyruvate, phosphate dikinase"
CLO1313_RS04855,Clo1313_0950,,cellulosome anchoring protein cohesin region
CLO1313_RS04865,Clo1313_0951,,hypothetical protein
CLO1313_RS04870,Clo1313_0952,,cupin domain-containing protein
CLO1313_RS04875,Clo1313_0953,,phosphate starvation protein PhoH
CLO1313_RS04880,Clo1313_0954,,glycosyltransferase family 1 protein
CLO1313_RS04885,Clo1313_0955,,ribonuclease J
CLO1313_RS04890,Clo1313_0956,,hypothetical protein
CLO1313_RS04895,Clo1313_0957,,hypothetical protein
CLO1313_RS04900,Clo1313_0958,,hypothetical protein
CLO1313_RS04905,Clo1313_0959,,50S ribosomal protein L25
CLO1313_RS04910,Clo1313_0960,cobT,nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
CLO1313_RS04915,Clo1313_0961,,hypothetical protein
CLO1313_RS04920,Clo1313_0962,,5-formyltetrahydrofolate cyclo-ligase
CLO1313_RS04925,Clo1313_0964,,recombinase
CLO1313_RS04930,Clo1313_0965,,HD domain-containing protein
CLO1313_RS04935,Clo1313_0966,,cofactor-independent phosphoglycerate mutase
CLO1313_RS04940,Clo1313_0967,,amidohydrolase
CLO1313_RS04945,Clo1313_0968,,hypothetical protein
CLO1313_RS04950,Clo1313_0969,,hypothetical protein
CLO1313_RS04955,Clo1313_0970,,DNA-binding response regulator
CLO1313_RS04960,Clo1313_0971,,sensor histidine kinase
CLO1313_RS04965,Clo1313_0972,,peptidase S1
CLO1313_RS04970,Clo1313_0973,,phosphohydrolase
CLO1313_RS04975,Clo1313_0974,,glycogen synthase GlgA
CLO1313_RS04980,Clo1313_0975,nth,endonuclease III
CLO1313_RS04985,Clo1313_0976,,diguanylate cyclase
CLO1313_RS04990,Clo1313_0977,,hypothetical protein
CLO1313_RS04995,Clo1313_0978,,hypothetical protein
CLO1313_RS05000,Clo1313_0979,rpmB,50S ribosomal protein L28
CLO1313_RS05005,Clo1313_0980,,DNA helicase RecG
CLO1313_RS05010,Clo1313_0981,rsmD,16S rRNA (guanine(966)-N(2))-methyltransferase RsmD
CLO1313_RS05015,Clo1313_0982,,phosphopantetheine adenylyltransferase
CLO1313_RS05020,Clo1313_0983,,hypothetical protein
CLO1313_RS05025,Clo1313_0984,ylbJ,sporulation integral membrane protein YlbJ
CLO1313_RS05030,Clo1313_0985,,alpha-L-arabinofuranosidase
CLO1313_RS05035,Clo1313_0986,,RNA polymerase sigma factor SigI
CLO1313_RS05040,Clo1313_0987,,carbohydrate-binding protein
CLO1313_RS05045,Clo1313_0988,,proteinase IV
CLO1313_RS05050,Clo1313_0989,,DUF362 domain-containing protein
CLO1313_RS05055,Clo1313_0990,,histidine kinase
CLO1313_RS05060,Clo1313_0991,,DNA-binding response regulator
CLO1313_RS05065,Clo1313_0992,,methyl-accepting chemotaxis protein
CLO1313_RS05070,Clo1313_0993,,phospho-sugar mutase
CLO1313_RS05075,Clo1313_0994,,DNA polymerase III subunit alpha
CLO1313_RS05080,Clo1313_0995,,trp RNA-binding attenuation protein MtrB
CLO1313_RS05085,Clo1313_0996,,hypothetical protein
CLO1313_RS05090,Clo1313_0997,pfkA,6-phosphofructokinase
CLO1313_RS05095,Clo1313_0998,,acyl-CoA thioesterase
CLO1313_RS05100,Clo1313_0999,,CDP-alcohol phosphatidyltransferase
CLO1313_RS05105,Clo1313_1000,,copper amine oxidase
CLO1313_RS05110,Clo1313_1001,,carbohydrate-binding protein
CLO1313_RS05115,Clo1313_1002,,glycosyl hydrolase
CLO1313_RS05120,Clo1313_1003,,hypothetical protein
CLO1313_RS15580,Clo1313_1004,,hypothetical protein
CLO1313_RS05125,Clo1313_1005,,phosphoenolpyruvate synthase
CLO1313_RS05130,Clo1313_1006,,AEC family transporter
CLO1313_RS05135,Clo1313_1007,,NCS2 family permease
CLO1313_RS05140,Clo1313_1008,purE,5-(carboxyamino)imidazole ribonucleotide mutase
CLO1313_RS05145,Clo1313_1009,,amidophosphoribosyltransferase
CLO1313_RS05150,Clo1313_1010,,phosphoribosylformylglycinamidine cyclo-ligase
CLO1313_RS05155,Clo1313_1011,,phosphoribosylglycinamide formyltransferase
CLO1313_RS05160,Clo1313_1012,purH,bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/inosine monophosphate cyclohydrolase
CLO1313_RS05165,Clo1313_1013,,phosphoribosylamine--glycine ligase
CLO1313_RS05170,Clo1313_1014,,glycosyl transferase
CLO1313_RS05175,Clo1313_1015,,N-acetyltransferase
CLO1313_RS05180,Clo1313_1016,,nicotinate-nicotinamide nucleotide adenylyltransferase
CLO1313_RS05185,Clo1313_1017,,phosphohydrolase
CLO1313_RS05190,Clo1313_1018,,hypothetical protein
CLO1313_RS05195,Clo1313_1019,rsfS,ribosome silencing factor
CLO1313_RS05200,Clo1313_1020,,leucine--tRNA ligase
CLO1313_RS05205,Clo1313_1021,,"cellulose 1,4-beta-cellobiosidase"
CLO1313_RS05210,Clo1313_1022,,chemotaxis protein
CLO1313_RS05215,Clo1313_1023,,hypothetical protein
CLO1313_RS05220,Clo1313_1024,,AMP-dependent synthetase
CLO1313_RS05225,Clo1313_1025,,D-alanyl-D-alanine carboxypeptidase
CLO1313_RS05230,Clo1313_1026,,competence protein ComEA
CLO1313_RS05235,Clo1313_1027,,sporulation protein
CLO1313_RS05240,Clo1313_1029,,threonine--tRNA ligase
CLO1313_RS05245,,,hypothetical protein
CLO1313_RS05250,Clo1313_1030,thyA,thymidylate synthase
CLO1313_RS05255,Clo1313_1031,,dihydrofolate reductase
CLO1313_RS05260,Clo1313_1032,,translation initiation factor IF-3
CLO1313_RS05265,Clo1313_1033,,50S ribosomal protein L35
CLO1313_RS05270,Clo1313_1034,,50S ribosomal protein L20
CLO1313_RS05275,Clo1313_1035,,23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB
CLO1313_RS05280,Clo1313_1036,,glycosyl transferase
CLO1313_RS05285,Clo1313_1037,,hypothetical protein
CLO1313_RS05290,Clo1313_1038,,DUF3810 domain-containing protein
CLO1313_RS05295,Clo1313_1039,,leucyl/phenylalanyl-tRNA--protein transferase
CLO1313_RS05300,Clo1313_1040,clpA,ATP-dependent Clp protease ATP-binding subunit ClpA
CLO1313_RS05305,Clo1313_1041,,ATP-dependent Clp protease adaptor ClpS
CLO1313_RS05310,Clo1313_1042,,sulfite exporter TauE/SafE family protein
CLO1313_RS05315,Clo1313_1043,,sulfite exporter TauE/SafE family protein
CLO1313_RS05320,Clo1313_1044,,hypothetical protein
CLO1313_RS05325,Clo1313_1045,,hypothetical protein
CLO1313_RS05330,Clo1313_1046,,TrpB-like pyridoxal phosphate-dependent enzyme
CLO1313_RS05335,Clo1313_1047,,hypothetical protein
CLO1313_RS05340,Clo1313_1048,,hypothetical protein
CLO1313_RS05345,Clo1313_1049,,N-acetyltransferase
CLO1313_RS15800,Clo1313_1050,,DUF2281 domain-containing protein
CLO1313_RS05350,Clo1313_1051,,membrane protein
CLO1313_RS05355,Clo1313_1052,,serine protein kinase
CLO1313_RS05360,Clo1313_1053,,sporulation protein YhbH
CLO1313_RS05365,Clo1313_1054,,stage V sporulation protein R
CLO1313_RS05370,Clo1313_1055,,MFS transporter
CLO1313_RS05375,Clo1313_1056,,purine-nucleoside phosphorylase
CLO1313_RS05380,Clo1313_1057,,adenosylhomocysteinase
CLO1313_RS05385,Clo1313_1058,,5-methylthioadenosine/S-adenosylhomocysteine deaminase
CLO1313_RS05395,,,hypothetical protein
CLO1313_RS05400,,,hypothetical protein
CLO1313_RS05405,,,hypothetical protein
CLO1313_RS05410,,,hypothetical protein
CLO1313_RS05415,,,hypothetical protein
CLO1313_RS05420,Clo1313_1065,,hypothetical protein
CLO1313_RS05425,Clo1313_1066,,IS256 family transposase ISCth4
CLO1313_RS05430,Clo1313_1067,,hypothetical protein
CLO1313_RS05435,Clo1313_1068,,haloacid dehalogenase
CLO1313_RS05440,Clo1313_1069,,hypothetical protein
CLO1313_RS05445,Clo1313_1070,,ABC transporter
CLO1313_RS05450,Clo1313_1071,,multidrug ABC transporter permease
CLO1313_RS05455,Clo1313_1072,,hypothetical protein
CLO1313_RS05460,Clo1313_1073,,alpha/beta hydrolase
CLO1313_RS05465,Clo1313_1074,,hypothetical protein
CLO1313_RS05470,Clo1313_1075,,hypothetical protein
CLO1313_RS05475,Clo1313_1076,,MoxR family ATPase
CLO1313_RS05480,Clo1313_1077,,DUF58 domain-containing protein
CLO1313_RS05485,Clo1313_1078,,transglutaminase
CLO1313_RS05490,Clo1313_1079,,zinc-ribbon domain-containing protein
CLO1313_RS05495,Clo1313_1080,,"small, acid-soluble spore protein H"
CLO1313_RS05500,Clo1313_1081,,cysteine hydrolase
CLO1313_RS05505,Clo1313_1082,,nicotinate phosphoribosyltransferase
CLO1313_RS05510,Clo1313_1083,,chemotaxis protein CheX
CLO1313_RS05515,Clo1313_1084,,hypothetical protein
CLO1313_RS05520,Clo1313_1085,,hypothetical protein
CLO1313_RS05525,Clo1313_1086,,PilZ domain-containing protein
CLO1313_RS05530,Clo1313_1087,,hypothetical protein
CLO1313_RS05535,Clo1313_1089,,D-alanyl-D-alanine carboxypeptidase
CLO1313_RS05540,Clo1313_1090,dapB,4-hydroxy-tetrahydrodipicolinate reductase
CLO1313_RS05545,Clo1313_1091,,serine hydrolase
CLO1313_RS05550,Clo1313_1093,,TIGR00296 family protein
CLO1313_RS05555,Clo1313_1094,amrS,AmmeMemoRadiSam system radical SAM enzyme
CLO1313_RS05560,Clo1313_1095,,TIGR00159 family protein
CLO1313_RS05565,Clo1313_1096,,hypothetical protein
CLO1313_RS05570,Clo1313_1097,,hypothetical protein
CLO1313_RS05575,Clo1313_1098,,phosphoglucosamine mutase
CLO1313_RS05580,Clo1313_1099,glmS,glutamine--fructose-6-phosphate transaminase (isomerizing)
CLO1313_RS05585,Clo1313_1100,,ArsR family transcriptional regulator
CLO1313_RS05590,Clo1313_1101,arsB,arsenical-resistance protein
CLO1313_RS05595,Clo1313_1102,,arsenate reductase ArsC
CLO1313_RS05600,Clo1313_1103,,permease
CLO1313_RS05610,,,IS3 family transposase
CLO1313_RS05615,Clo1313_1105,,hypothetical protein
CLO1313_RS05620,Clo1313_1106,,type II secretion system protein E
CLO1313_RS05625,Clo1313_1107,,type IV pili twitching motility protein PilT
CLO1313_RS05630,Clo1313_1108,,type II secretion system F family protein
CLO1313_RS05635,Clo1313_1109,,prepilin-type cleavage/methylation domain-containing protein
CLO1313_RS05640,Clo1313_1110,,prepilin-type cleavage/methylation domain-containing protein
CLO1313_RS05645,Clo1313_1111,,fimbrial protein
CLO1313_RS05650,Clo1313_1112,,hypothetical protein
CLO1313_RS05655,Clo1313_1113,,prepilin-type cleavage/methylation domain-containing protein
CLO1313_RS05660,Clo1313_1114,,hypothetical protein
CLO1313_RS05665,Clo1313_1115,,hypothetical protein
CLO1313_RS05670,Clo1313_1116,,translocation-enhancing protein TepA
CLO1313_RS05675,Clo1313_1117,,hypothetical protein
CLO1313_RS05680,Clo1313_1118,,DNA translocase FtsK
CLO1313_RS05685,Clo1313_1119,,YgiQ family radical SAM protein
CLO1313_RS05690,Clo1313_1120,,bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase
CLO1313_RS05695,Clo1313_1121,,hypothetical protein
CLO1313_RS05700,Clo1313_1122,rny,ribonuclease Y
CLO1313_RS05705,Clo1313_1123,,metallophosphoesterase
CLO1313_RS05710,Clo1313_1124,,stage V sporulation protein S
CLO1313_RS05715,Clo1313_1125,,hypothetical protein
CLO1313_RS05720,Clo1313_1126,,DUF3343 domain-containing protein
CLO1313_RS05725,Clo1313_1127,,spore coat protein
CLO1313_RS05730,Clo1313_1128,,glycosyltransferase family 1 protein
CLO1313_RS05735,Clo1313_1129,,CotS family spore coat protein
CLO1313_RS05740,Clo1313_1130,,CotS family spore coat protein
CLO1313_RS05745,Clo1313_1131,,amphi-Trp domain-containing protein
CLO1313_RS05750,Clo1313_1132,,hypothetical protein
CLO1313_RS05755,Clo1313_1133,,carbohydrate-binding protein
CLO1313_RS05760,Clo1313_1134,,nucleotidyltransferase
CLO1313_RS05765,Clo1313_1135,,hypothetical protein
CLO1313_RS05770,Clo1313_1136,,hypothetical protein
CLO1313_RS05775,Clo1313_1137,,DUF881 domain-containing protein
CLO1313_RS05780,Clo1313_1138,,DUF881 domain-containing protein
CLO1313_RS05785,Clo1313_1139,pdaA,delta-lactam-biosynthetic de-N-acetylase
CLO1313_RS05790,Clo1313_1140,yqfC,sporulation protein YqfC
CLO1313_RS05795,Clo1313_1141,yqfD,sporulation protein YqfD
CLO1313_RS05800,Clo1313_1142,,PhoH family protein
CLO1313_RS05805,Clo1313_1143,,HD family phosphohydrolase
CLO1313_RS05810,Clo1313_1144,,endoribonuclease YbeY
CLO1313_RS05815,Clo1313_1145,cdd,cytidine deaminase
CLO1313_RS05820,Clo1313_1146,,GTPase Era
CLO1313_RS15585,Clo1313_1147,,YqzL family protein
CLO1313_RS05825,Clo1313_1148,recO,DNA repair protein RecO
CLO1313_RS05830,Clo1313_1149,,PilZ domain-containing protein
CLO1313_RS05835,Clo1313_1150,,cysteine desulfurase
CLO1313_RS05840,Clo1313_1151,,tRNA 4-thiouridine(8) synthase ThiI
CLO1313_RS05845,Clo1313_1152,,vanomycin resistance protein VanB
CLO1313_RS05850,Clo1313_1153,,DUF2225 domain-containing protein
CLO1313_RS05855,Clo1313_1154,,AIR synthase
CLO1313_RS05865,Clo1313_1155,,serine hydroxymethyltransferase
CLO1313_RS05870,Clo1313_1156,,PspC domain-containing protein
CLO1313_RS05875,Clo1313_1157,,transglutaminase
CLO1313_RS05880,Clo1313_1158,,DUF58 domain-containing protein
CLO1313_RS05885,Clo1313_1159,,MoxR family ATPase
CLO1313_RS05890,Clo1313_1160,,L-lactate dehydrogenase
CLO1313_RS05895,Clo1313_1161,,damage-inducible protein CinA
CLO1313_RS05900,Clo1313_1162,mviN,murein biosynthesis integral membrane protein MurJ
CLO1313_RS05905,Clo1313_1163,recA,recombinase RecA
CLO1313_RS05910,Clo1313_1164,,regulatory protein RecX
CLO1313_RS05915,Clo1313_1165,,rhomboid family intramembrane serine protease
CLO1313_RS05920,Clo1313_1166,,hypothetical protein
CLO1313_RS05925,Clo1313_1167,,ABC transporter substrate-binding protein
CLO1313_RS05930,Clo1313_1168,,hypothetical protein
CLO1313_RS05935,Clo1313_1169,,hypothetical protein
CLO1313_RS05940,Clo1313_1170,,hypothetical protein
CLO1313_RS05950,Clo1313_1171,,hypothetical protein
CLO1313_RS05955,Clo1313_1172,,UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase
CLO1313_RS05975,Clo1313_1173,,DNA polymerase III subunit delta
CLO1313_RS05980,Clo1313_1174,rpsT,30S ribosomal protein S20
CLO1313_RS05985,Clo1313_1175,,GPR endopeptidase
CLO1313_RS05990,Clo1313_1176,,N-acetylmuramoyl-L-alanine amidase
CLO1313_RS05995,Clo1313_1177,,hypothetical protein
CLO1313_RS06000,Clo1313_1178,,DNA ligase (NAD(+)) LigA
CLO1313_RS06005,Clo1313_1180,,hypothetical protein
CLO1313_RS06010,Clo1313_1181,,Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase GatCAB subunit C
CLO1313_RS06015,Clo1313_1182,,Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatA
CLO1313_RS06020,Clo1313_1183,,Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB
CLO1313_RS06025,Clo1313_1184,,hypothetical protein
CLO1313_RS06030,Clo1313_1185,pta,phosphate acetyltransferase
CLO1313_RS06035,Clo1313_1186,,acetate kinase
CLO1313_RS06040,Clo1313_1187,,hypothetical protein
CLO1313_RS06045,Clo1313_1188,,50S ribosomal protein L32
CLO1313_RS06050,Clo1313_1189,,radical SAM protein
CLO1313_RS06055,Clo1313_1190,,ribosome biogenesis GTPase Der
CLO1313_RS06060,Clo1313_1191,plsY,acyl-phosphate glycerol 3-phosphate acyltransferase
CLO1313_RS06065,Clo1313_1192,,NAD(P)H-dependent glycerol-3-phosphate dehydrogenase
CLO1313_RS06070,Clo1313_1193,spoIVA,stage IV sporulation protein A
CLO1313_RS06075,Clo1313_1194,,ABC transporter substrate-binding protein
CLO1313_RS06080,Clo1313_1195,,sugar ABC transporter permease
CLO1313_RS06085,Clo1313_1196,,carbohydrate ABC transporter permease
CLO1313_RS06090,Clo1313_1197,,hypothetical protein
CLO1313_RS06095,Clo1313_1198,,N-acetylmuramoyl-L-alanine amidase
CLO1313_RS06100,Clo1313_1199,,DUF3842 domain-containing protein
CLO1313_RS06105,Clo1313_1200,,hypothetical protein
CLO1313_RS06110,Clo1313_1201,,endonuclease MutS2
CLO1313_RS06115,Clo1313_1202,ytvI,sporulation integral membrane protein YtvI
CLO1313_RS06120,Clo1313_1203,sigK,RNA polymerase sporulation sigma factor SigK
CLO1313_RS06125,Clo1313_1204,,peptidoglycan glycosyltransferase
CLO1313_RS06130,Clo1313_1205,,peptidase U32
CLO1313_RS06135,Clo1313_1206,,O-methyltransferase
CLO1313_RS06140,Clo1313_1207,,endolytic transglycosylase MltG
CLO1313_RS06145,Clo1313_1208,typA,translational GTPase TypA
CLO1313_RS06150,Clo1313_1209,rpsB,30S ribosomal protein S2
CLO1313_RS06155,Clo1313_1210,tsf,elongation factor Ts
CLO1313_RS06160,Clo1313_1211,,UMP kinase
CLO1313_RS06165,Clo1313_1212,,ribosome-recycling factor
CLO1313_RS06170,Clo1313_1213,,hypothetical protein
CLO1313_RS06175,Clo1313_1214,,isoprenyl transferase
CLO1313_RS06180,Clo1313_1215,,phosphatidate cytidylyltransferase
CLO1313_RS06185,Clo1313_1216,,1-deoxy-D-xylulose-5-phosphate reductoisomerase
CLO1313_RS06190,Clo1313_1217,rseP,RIP metalloprotease RseP
CLO1313_RS06195,Clo1313_1218,,flavodoxin-dependent (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase
CLO1313_RS06200,Clo1313_1219,polC,PolC-type DNA polymerase III
CLO1313_RS06205,Clo1313_1221,,ribosome maturation factor
CLO1313_RS06210,Clo1313_1222,nusA,transcription termination/antitermination protein NusA
CLO1313_RS06215,Clo1313_1223,,DUF448 domain-containing protein
CLO1313_RS06220,Clo1313_1224,,50S ribosomal protein L7ae
CLO1313_RS06225,Clo1313_1225,,translation initiation factor IF-2
CLO1313_RS06230,Clo1313_1226,,30S ribosome-binding factor RbfA
CLO1313_RS06235,Clo1313_1227,,bifunctional oligoribonuclease/PAP phosphatase NrnA
CLO1313_RS06240,Clo1313_1228,,tRNA pseudouridine(55) synthase TruB
CLO1313_RS06245,Clo1313_1229,,bifunctional riboflavin kinase/FAD synthetase
CLO1313_RS06250,Clo1313_1231,,insulinase family protein
CLO1313_RS06255,Clo1313_1232,,insulinase family protein
CLO1313_RS06260,Clo1313_1233,,prolipoprotein diacylglyceryl transferase
CLO1313_RS15590,Clo1313_1234,,Spo0E family sporulation regulatory protein-aspartic acid phosphatase
CLO1313_RS06265,Clo1313_1235,,rod shape-determining protein RodA
CLO1313_RS06270,Clo1313_1236,,division/cell wall cluster transcriptional repressor MraZ
CLO1313_RS06275,Clo1313_1237,,16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH
CLO1313_RS06280,Clo1313_1238,,cell division protein FtsL
CLO1313_RS06285,Clo1313_1239,,peptidoglycan glycosyltransferase
